"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"iris.cprk.ncep.noaa.gov","noaa.gov","http://iris.cprk.ncep.noaa.gov","Department of Commerce","rdns-snapshot, other","No","No","No","","","","","","No"
"iris.ncep.noaa.gov","noaa.gov","https://iris.ncep.noaa.gov","Department of Commerce","dap, eot2016, other","No","Yes","No","No","Yes","Yes","No","Yes","No"
"irisqa.ncep.noaa.gov","noaa.gov","http://irisqa.ncep.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"itaf-verification.nws.noaa.gov","noaa.gov","https://itaf-verification.nws.noaa.gov","Department of Commerce","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"iuufishing.noaa.gov","noaa.gov","https://www.iuufishing.noaa.gov","Department of Commerce","eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ivos.ndbc.noaa.gov","noaa.gov","https://ivos.ndbc.noaa.gov","Department of Commerce","rdns-snapshot, eot2016, other","No","Yes","No","Yes","No","No","No","No","No"
"iwin.nws.noaa.gov","noaa.gov","http://iwin.nws.noaa.gov","Department of Commerce","rdns-snapshot, eot2016, other","No","No","No","","","","","","No"
"iwintest.nws.noaa.gov","noaa.gov","http://iwintest.nws.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"jcsda.noaa.gov","noaa.gov","https://www.jcsda.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"jetadmin.rdhpcs.noaa.gov","noaa.gov","https://jetadmin.rdhpcs.noaa.gov","Department of Commerce","rdns-snapshot, other","No","Yes","No","No","Yes","Yes","No","No","No"
"jetdocs.rdhpcs.noaa.gov","noaa.gov","https://jetdocs.rdhpcs.noaa.gov","Department of Commerce","rdns-snapshot, eot2016, other","No","Yes","No","No","Yes","No","No","No","No"
"jointplan.nos.noaa.gov","noaa.gov","http://www.jointplan.nos.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"jpss.noaa.gov","noaa.gov","http://www.jpss.noaa.gov","Department of Commerce","dap, eot2016, other","No","No","No","","","","","","No"
"justware.rdc.noaa.gov","noaa.gov","https://justware.rdc.noaa.gov","Department of Commerce","censys-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"justwaretest.rdc.noaa.gov","noaa.gov","https://justwaretest.rdc.noaa.gov","Department of Commerce","rdns-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"kidsday.noaa.gov","noaa.gov","http://www.kidsday.noaa.gov","Department of Commerce","eot2016","No","No","No","","","","","","No"
"kvm-west0-nagios-mk.w4.wocvm.noaa.gov","noaa.gov","http://kvm-west0-nagios-mk.w4.wocvm.noaa.gov","Department of Commerce","rdns-snapshot, other","No","No","No","","","","","","No"
"labtrain.noaa.gov","noaa.gov","http://www.labtrain.noaa.gov","Department of Commerce","eot2016","No","No","No","","","","","","No"
"lb.nohrsc.noaa.gov","noaa.gov","http://lb.nohrsc.noaa.gov","Department of Commerce","rdns-snapshot","No","No","No","","","","","","No"
"lcdp.noaa.gov","noaa.gov","http://lcdp.noaa.gov","Department of Commerce","dap, eot2016, other","No","No","No","","","","","","No"
"lci.oarhq.noaa.gov","noaa.gov","http://lci.oarhq.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"ldas.ncep.noaa.gov","noaa.gov","http://ldas.ncep.noaa.gov","Department of Commerce","rdns-snapshot","No","No","No","","","","","","No"
"ldas3.ncep.noaa.gov","noaa.gov","http://ldas3.ncep.noaa.gov","Department of Commerce","rdns-snapshot","No","No","No","","","","","","No"
"legacy-www.swpc.noaa.gov","noaa.gov","http://legacy-www.swpc.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"legislative.noaa.gov","noaa.gov","https://www.legislative.noaa.gov","Department of Commerce","eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"lhiemenz.iso.noaa.gov","noaa.gov","http://lhiemenz.iso.noaa.gov","Department of Commerce","rdns-snapshot, other","No","No","No","","","","","","No"
"lib.ncep.noaa.gov","noaa.gov","http://www.lib.ncep.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"lib.nwfsc.noaa.gov","noaa.gov","https://lib.nwfsc.noaa.gov","Department of Commerce","rdns-snapshot, dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"library.noaa.gov","noaa.gov","https://library.noaa.gov","Department of Commerce","dap","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"lightningsafety.noaa.gov","noaa.gov","http://www.lightningsafety.noaa.gov","Department of Commerce","dap, eot2016, other","No","No","No","","","","","","No"
"list.woc.noaa.gov","noaa.gov","https://list.woc.noaa.gov","Department of Commerce","rdns-snapshot, eot2016, other","No","Yes","No","No","Yes","Yes","No","No","No"
"lme.noaa.gov","noaa.gov","http://www.lme.noaa.gov","Department of Commerce","eot2016","No","No","No","","","","","","No"
"localonly.nefsc.noaa.gov","noaa.gov","https://localonly.nefsc.noaa.gov","Department of Commerce","dap, eot2016, other","No","Yes","No","Yes","No","No","No","No","No"
"logger.woc.noaa.gov","noaa.gov","https://logger.woc.noaa.gov","Department of Commerce","rdns-snapshot, other","No","Yes","No","No","Yes","Yes","No","No","No"
"logindiver.orr.noaa.gov","noaa.gov","https://logindiver.orr.noaa.gov","Department of Commerce","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ls1-bcq.crh.noaa.gov","noaa.gov","http://ls1-bcq.crh.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"ls1-vrh.arh.noaa.gov","noaa.gov","http://ls1-vrh.arh.noaa.gov","Department of Commerce","rdns-snapshot","No","No","No","","","","","","No"
"ls1-vuy.erh.noaa.gov","noaa.gov","http://ls1-vuy.erh.noaa.gov","Department of Commerce","rdns-snapshot, other","No","No","No","","","","","","No"
"lstsrv.ncep.noaa.gov","noaa.gov","https://www.lstsrv.ncep.noaa.gov","Department of Commerce","rdns-snapshot, eot2016, other","No","Yes","No","No","Yes","Yes","No","No","No"
"lv4-dir4.boulder.noaa.gov","noaa.gov","http://lv4-dir4.boulder.noaa.gov","Department of Commerce","rdns-snapshot","No","No","No","","","","","","No"
"lwf.ncdc.noaa.gov","noaa.gov","http://lwf.ncdc.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"m.cameochemicals.noaa.gov","noaa.gov","http://m.cameochemicals.noaa.gov","Department of Commerce","dap, eot2016, other","No","No","Yes","Yes","No","No","No","No","No"
"madis-data.bldr.ncep.noaa.gov","noaa.gov","https://madis-data.bldr.ncep.noaa.gov","Department of Commerce","censys-snapshot, other","No","Yes","No","No","Yes","Yes","No","Yes","No"
"madis-data.cprk.ncep.noaa.gov","noaa.gov","https://madis-data.cprk.ncep.noaa.gov","Department of Commerce","censys-snapshot, other","No","Yes","No","No","Yes","Yes","No","No","No"
"madis-data.ncep.noaa.gov","noaa.gov","https://madis-data.ncep.noaa.gov","Department of Commerce","eot2016, other","No","Yes","No","No","Yes","Yes","No","No","No"
"madis-data.noaa.gov","noaa.gov","https://madis-data.noaa.gov","Department of Commerce","eot2016, other","No","Yes","No","No","Yes","No","No","No","No"
"madis-research.noaa.gov","noaa.gov","https://madis-research.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"madis.bldr.ncep.noaa.gov","noaa.gov","https://madis.bldr.ncep.noaa.gov","Department of Commerce","eot2016, other","No","Yes","No","No","Yes","Yes","No","Yes","No"
"madis.cprk.ncep.noaa.gov","noaa.gov","https://madis.cprk.ncep.noaa.gov","Department of Commerce","censys-snapshot, other","No","Yes","No","No","Yes","Yes","No","No","No"
"madis.ncep.noaa.gov","noaa.gov","https://madis.ncep.noaa.gov","Department of Commerce","dap, eot2016, other","No","Yes","No","No","Yes","Yes","No","No","No"
"madis.noaa.gov","noaa.gov","https://madis.noaa.gov","Department of Commerce","dap, eot2016, other","No","Yes","No","No","Yes","Yes","No","No","No"
"mag.ncep.noaa.gov","noaa.gov","http://mag.ncep.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"mag.nssl.noaa.gov","noaa.gov","https://mag.nssl.noaa.gov","Department of Commerce","rdns-snapshot, other","No","Yes","Yes","No","Yes","No","No","No","Ready"
"mageval.ncep.noaa.gov","noaa.gov","http://mageval.ncep.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"magpara.ncep.noaa.gov","noaa.gov","http://magpara.ncep.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"mailman.ngdc.noaa.gov","noaa.gov","https://mailman.ngdc.noaa.gov","Department of Commerce","eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"manati.orbit.nesdis.noaa.gov","noaa.gov","https://manati.orbit.nesdis.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"manati.star.nesdis.noaa.gov","noaa.gov","https://manati.star.nesdis.noaa.gov","Department of Commerce","rdns-snapshot, dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"maps.coast.noaa.gov","noaa.gov","https://maps.coast.noaa.gov","Department of Commerce","eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"maps.coastalscience.noaa.gov","noaa.gov","https://maps.coastalscience.noaa.gov","Department of Commerce","dap, eot2016","No","No","No","","","","","","No"
"maps.ngdc.noaa.gov","noaa.gov","https://maps.ngdc.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"maps.noaa.gov","noaa.gov","http://maps.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"maps.webqa.coast.noaa.gov","noaa.gov","https://maps.webqa.coast.noaa.gov","Department of Commerce","censys-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"maps1.coast.noaa.gov","noaa.gov","https://maps1.coast.noaa.gov","Department of Commerce","eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"maps1.webqa.coast.noaa.gov","noaa.gov","https://maps1.webqa.coast.noaa.gov","Department of Commerce","censys-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"maps2.coast.noaa.gov","noaa.gov","https://maps2.coast.noaa.gov","Department of Commerce","eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"maps2.webqa.coast.noaa.gov","noaa.gov","https://maps2.webqa.coast.noaa.gov","Department of Commerce","censys-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"mapservice.nohrsc.noaa.gov","noaa.gov","http://mapservice.nohrsc.noaa.gov","Department of Commerce","censys-snapshot, other","No","No","No","Yes","No","No","No","No","No"
"marinecadastre.webqa.coast.noaa.gov","noaa.gov","https://marinecadastre.webqa.coast.noaa.gov","Department of Commerce","censys-snapshot, dap, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"marinedebris.noaa.gov","noaa.gov","https://marinedebris.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"marinelife.noaa.gov","noaa.gov","https://marinelife.noaa.gov","Department of Commerce","rdns-snapshot, eot2016, other","No","Yes","No","No","Yes","No","No","No","No"
"marineprotectedareas.noaa.gov","noaa.gov","https://marineprotectedareas.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"maritimeboundaries.noaa.gov","noaa.gov","https://maritimeboundaries.noaa.gov","Department of Commerce","eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"mars.rdc.noaa.gov","noaa.gov","https://mars.rdc.noaa.gov","Department of Commerce","eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"mats.gsd.esrl.noaa.gov","noaa.gov","http://mats.gsd.esrl.noaa.gov","Department of Commerce","rdns-snapshot, other","No","No","No","","","","","","No"
"mdl.nws.noaa.gov","noaa.gov","http://mdl.nws.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"mdmap.orr.noaa.gov","noaa.gov","https://mdmap.orr.noaa.gov","Department of Commerce","eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"medical.nefsc.noaa.gov","noaa.gov","http://medical.nefsc.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"mercury.aoml.noaa.gov","noaa.gov","http://mercury.aoml.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"mermaid.ncddc.noaa.gov","noaa.gov","https://mermaid.ncddc.noaa.gov","Department of Commerce","eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"metoc.ndbc.noaa.gov","noaa.gov","https://metoc.ndbc.noaa.gov","Department of Commerce","rdns-snapshot, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"mi.nefsc.noaa.gov","noaa.gov","http://mi.nefsc.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"mi.nws.noaa.gov","noaa.gov","http://mi.nws.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"miantsvr5.sefsc.noaa.gov","noaa.gov","https://miantsvr5.sefsc.noaa.gov","Department of Commerce","rdns-snapshot, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"midatlantic-mdc.diver.orr.noaa.gov","noaa.gov","https://midatlantic-mdc.diver.orr.noaa.gov","Department of Commerce","dap","Yes","Yes","Yes","Yes","No","No","No","No","No"
"missionlog.noaa.gov","noaa.gov","http://missionlog.noaa.gov","Department of Commerce","eot2016","No","No","No","","","","","","No"
"mlo.noaa.gov","noaa.gov","http://www.mlo.noaa.gov","Department of Commerce","dap, eot2016, other","No","No","No","","","","","","No"
"mmendoza.wasc.noaa.gov","noaa.gov","http://mmendoza.wasc.noaa.gov","Department of Commerce","rdns-snapshot, other","No","No","No","","","","","","No"
"mmhsrp.nmfs.noaa.gov","noaa.gov","https://mmhsrp.nmfs.noaa.gov","Department of Commerce","rdns-snapshot, dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"mobile.srh.noaa.gov","noaa.gov","http://mobile.srh.noaa.gov","Department of Commerce","eot2016","No","No","No","","","","","","No"
"mobile.tidesandcurrents.noaa.gov","noaa.gov","https://mobile.tidesandcurrents.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"moc.noaa.gov","noaa.gov","http://www.moc.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"mojave.co-ops.nos.noaa.gov","noaa.gov","http://mojave.co-ops.nos.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"mon.bldc.nwave.noaa.gov","noaa.gov","https://mon.bldc.nwave.noaa.gov","Department of Commerce","censys-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"mon.boul.nwave.noaa.gov","noaa.gov","https://mon.boul.nwave.noaa.gov","Department of Commerce","rdns-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"mon.ctc.nwave.noaa.gov","noaa.gov","https://mon.ctc.nwave.noaa.gov","Department of Commerce","censys-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"monitor.noaa.gov","noaa.gov","https://monitor.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"montereybay.noaa.gov","noaa.gov","https://montereybay.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"montroserestoration.noaa.gov","noaa.gov","http://www.montroserestoration.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"mping.nssl.noaa.gov","noaa.gov","https://mping.nssl.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"mrms.ncep.noaa.gov","noaa.gov","http://mrms.ncep.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"mrms.nssl.noaa.gov","noaa.gov","https://mrms.nssl.noaa.gov","Department of Commerce","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"mrtt.noaa.gov","noaa.gov","https://mrtt.noaa.gov","Department of Commerce","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"msas.noaa.gov","noaa.gov","https://msas.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"mslabs.sefsc.noaa.gov","noaa.gov","https://www.mslabs.sefsc.noaa.gov","Department of Commerce","rdns-snapshot, other","No","No","No","","","","","","No"
"msp.noaa.gov","noaa.gov","https://msp.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"mysql.bldc.nwave.noaa.gov","noaa.gov","https://mysql.bldc.nwave.noaa.gov","Department of Commerce","censys-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"mysql.boul.nwave.noaa.gov","noaa.gov","https://mysql.boul.nwave.noaa.gov","Department of Commerce","rdns-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"mysql.ctc.nwave.noaa.gov","noaa.gov","https://mysql.ctc.nwave.noaa.gov","Department of Commerce","censys-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"na.nefsc.noaa.gov","noaa.gov","http://na.nefsc.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"natice.noaa.gov","noaa.gov","http://www.natice.noaa.gov","Department of Commerce","dap, eot2016, other","No","No","No","","","","","","No"
"nauticalcharts.noaa.gov","noaa.gov","https://nauticalcharts.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nbi.noaa.gov","noaa.gov","https://nbi.noaa.gov","Department of Commerce","eot2016","No","Yes","No","Yes","No","No","No","No","No"
"nc.noaa.gov","noaa.gov","http://www.nc.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"ncc.nesdis.noaa.gov","noaa.gov","https://ncc.nesdis.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ncc.noaa.gov","noaa.gov","http://www.ncc.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"ncdc.noaa.gov","noaa.gov","https://www.ncdc.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ncddc.noaa.gov","noaa.gov","https://www.ncddc.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ncei.noaa.gov","noaa.gov","https://www.ncei.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ncep.noaa.gov","noaa.gov","http://www.ncep.noaa.gov","Department of Commerce","rdns-snapshot, eot2016, other","No","No","No","","","","","","No"
"ncfas-fw.boulder.noaa.gov","noaa.gov","http://ncfas-fw.boulder.noaa.gov","Department of Commerce","rdns-snapshot, other","No","No","No","","","","","","No"
"ncirt-fw2.boulder.noaa.gov","noaa.gov","http://ncirt-fw2.boulder.noaa.gov","Department of Commerce","rdns-snapshot","No","No","No","","","","","","No"
"nco.ncep.noaa.gov","noaa.gov","http://www.nco.ncep.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"ncsceast.csp.noaa.gov","noaa.gov","http://ncsceast.csp.noaa.gov","Department of Commerce","censys-snapshot","No","No","No","","","","","","No"
"nctr.pmel.noaa.gov","noaa.gov","https://nctr.pmel.noaa.gov","Department of Commerce","rdns-snapshot, dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ndb.ctc.nwave.noaa.gov","noaa.gov","https://ndb.ctc.nwave.noaa.gov","Department of Commerce","censys-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ndbc-load.nws.noaa.gov","noaa.gov","http://ndbc-load.nws.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"ndbc.l.noaa.gov","noaa.gov","http://www.ndbc.l.noaa.gov","Department of Commerce","other","No","No","No","","","","","","No"
"ndbc.noaa.gov","noaa.gov","http://www.ndbc.noaa.gov","Department of Commerce","eot2016, other","No","No","No","Yes","No","No","No","No","No"
"ndc.noaa.gov","noaa.gov","http://www.ndc.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"ndsc.ncep.noaa.gov","noaa.gov","http://www.ndsc.ncep.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"nefsc.noaa.gov","noaa.gov","https://www.nefsc.noaa.gov","Department of Commerce","dap, eot2016, other","No","Yes","No","No","Yes","No","No","No","No"
"neis.noaa.gov","noaa.gov","http://neis.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"nepa.noaa.gov","noaa.gov","http://www.nepa.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"neri.noaa.gov","noaa.gov","https://neri.noaa.gov","Department of Commerce","rdns-snapshot, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nero.noaa.gov","noaa.gov","https://www.nero.noaa.gov","Department of Commerce","rdns-snapshot, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nerrs.noaa.gov","noaa.gov","https://nerrs.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nesccadmin.rdhpcs.noaa.gov","noaa.gov","https://nesccadmin.rdhpcs.noaa.gov","Department of Commerce","rdns-snapshot, other","No","Yes","No","No","Yes","No","No","No","No"
"nesccdocs.rdhpcs.noaa.gov","noaa.gov","https://nesccdocs.rdhpcs.noaa.gov","Department of Commerce","rdns-snapshot, eot2016, other","No","Yes","No","No","Yes","No","No","No","No"
"nesdis-ssmc2.woc.noaa.gov","noaa.gov","http://nesdis-ssmc2.woc.noaa.gov","Department of Commerce","rdns-snapshot, other","No","No","No","","","","","","No"
"nesdis-woc.boulder.noaa.gov","noaa.gov","http://nesdis-woc.boulder.noaa.gov","Department of Commerce","rdns-snapshot, other","No","No","No","","","","","","No"
"nesdis-woc2.boulder.noaa.gov","noaa.gov","http://nesdis-woc2.boulder.noaa.gov","Department of Commerce","rdns-snapshot, other","No","No","No","","","","","","No"
"nesdis.noaa.gov","noaa.gov","https://www.nesdis.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nesdisia.noaa.gov","noaa.gov","http://www.nesdisia.noaa.gov","Department of Commerce","dap, eot2016, other","No","No","No","","","","","","No"
"nettest.boulder.noaa.gov","noaa.gov","http://nettest.boulder.noaa.gov","Department of Commerce","rdns-snapshot, eot2016, other","No","No","No","No","Yes","No","No","No","No"
"new.nowcoast.noaa.gov","noaa.gov","https://new.nowcoast.noaa.gov","Department of Commerce","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"newwww.atdd.noaa.gov","noaa.gov","http://newwww.atdd.noaa.gov","Department of Commerce","rdns-snapshot","No","No","No","","","","","","No"
"nft.nefsc.noaa.gov","noaa.gov","http://nft.nefsc.noaa.gov","Department of Commerce","dap, eot2016, other","No","No","No","","","","","","No"
"ngdc.noaa.gov","noaa.gov","https://ngdc.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ngs.l.noaa.gov","noaa.gov","http://www.ngs.l.noaa.gov","Department of Commerce","other","No","No","No","","","","","","No"
"ngs.noaa.gov","noaa.gov","https://www.ngs.noaa.gov","Department of Commerce","rdns-snapshot, dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ngsweb-beta.ngs.noaa.gov","noaa.gov","http://ngsweb-beta.ngs.noaa.gov","Department of Commerce","censys-snapshot, other","No","No","No","","","","","","No"
"nhc.ncep.noaa.gov","noaa.gov","http://nhc.ncep.noaa.gov","Department of Commerce","rdns-snapshot","No","No","No","","","","","","No"
"nhc.noaa.gov","noaa.gov","https://www.nhc.noaa.gov","Department of Commerce","dap, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nhc.woc.noaa.gov","noaa.gov","https://www.nhc.woc.noaa.gov","Department of Commerce","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nhcpara.noaa.gov","noaa.gov","http://www.nhcpara.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"nids-www-metaws.ncep.noaa.gov","noaa.gov","http://nids-www-metaws.ncep.noaa.gov","Department of Commerce","censys-snapshot, other","No","No","No","No","Yes","Yes","No","Yes","No"
"nimoweb.rdc.noaa.gov","noaa.gov","https://nimoweb.rdc.noaa.gov","Department of Commerce","rdns-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nimowebdev.rdc.noaa.gov","noaa.gov","https://nimowebdev.rdc.noaa.gov","Department of Commerce","rdns-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nirra.csp.noaa.gov","noaa.gov","https://nirra.csp.noaa.gov","Department of Commerce","censys-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"nit.bldc.nwave.noaa.gov","noaa.gov","https://nit.bldc.nwave.noaa.gov","Department of Commerce","censys-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nit.boul.nwave.noaa.gov","noaa.gov","https://nit.boul.nwave.noaa.gov","Department of Commerce","rdns-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nit.ctc.nwave.noaa.gov","noaa.gov","https://nit.ctc.nwave.noaa.gov","Department of Commerce","censys-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nlkreqs.noaa.gov","noaa.gov","http://www.nlkreqs.noaa.gov","Department of Commerce","censys-snapshot","No","No","No","No","Yes","Yes","Yes","Yes","No"
"nmao.noaa.gov","noaa.gov","http://www.nmao.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"nmfs-ssmc.woc.noaa.gov","noaa.gov","http://nmfs-ssmc.woc.noaa.gov","Department of Commerce","other","No","No","No","","","","","","No"
"nmfs-ssmc2.woc.noaa.gov","noaa.gov","http://nmfs-ssmc2.woc.noaa.gov","Department of Commerce","rdns-snapshot","No","No","No","","","","","","No"
"nmfs-woc.boulder.noaa.gov","noaa.gov","http://nmfs-woc.boulder.noaa.gov","Department of Commerce","rdns-snapshot, other","No","No","No","","","","","","No"
"nmfs-woc2.boulder.noaa.gov","noaa.gov","http://nmfs-woc2.boulder.noaa.gov","Department of Commerce","rdns-snapshot, other","No","No","No","","","","","","No"
"nmfs.noaa.gov","noaa.gov","http://www.nmfs.noaa.gov","Department of Commerce","dap, eot2016, other","No","No","No","","","","","","No"
"nnvl.noaa.gov","noaa.gov","https://www.nnvl.noaa.gov","Department of Commerce","eot2016, other","No","Yes","No","No","Yes","No","No","Yes","No"
"noaa-arra.iso.noaa.gov","noaa.gov","http://noaa-arra.iso.noaa.gov","Department of Commerce","rdns-snapshot, other","No","No","Yes","Yes","No","No","No","No","Ready"
"noaa.gov","noaa.gov","http://www.noaa.gov","Department of Commerce","dotgov","No","No","No","","","","","","No"
"noaacorps.noaa.gov","noaa.gov","http://www.noaacorps.noaa.gov","Department of Commerce","eot2016, other","No","No","No","","","","","","No"
"noaactxanon.rdc.noaa.gov","noaa.gov","https://noaactxanon.rdc.noaa.gov","Department of Commerce","rdns-snapshot, other","No","Yes","No","Yes","No","No","No","No","No"
